accuracy,alpha
0.894736842105,1.0
0.961218836565,2.0
0.960664819945,3.0
0.960664819945,4.0
0.960664819945,5.0
0.960110803324,6.0
0.960110803324,7.0
0.960110803324,8.0
0.960664819945,9.0
0.960664819945,10.0
0.961218836565,11.0
0.960664819945,12.0
0.960664819945,13.0
0.960664819945,14.0
0.960110803324,15.0
0.960110803324,16.0
0.960110803324,17.0
0.960110803324,18.0
0.959002770083,19.0
0.959002770083,20.0
0.959002770083,21.0
0.959002770083,22.0
0.959556786704,23.0
0.959002770083,24.0
0.959002770083,25.0
0.959002770083,26.0
0.959002770083,27.0
0.959002770083,28.0
0.959002770083,29.0
0.959002770083,30.0
0.959002770083,31.0
0.959002770083,32.0
0.959002770083,33.0
0.959002770083,34.0
0.958448753463,35.0
0.958448753463,36.0
0.957894736842,37.0
0.957340720222,38.0
0.956786703601,39.0
0.956786703601,40.0
0.956786703601,41.0
0.956786703601,42.0
0.956232686981,43.0
0.95567867036,44.0
0.95567867036,45.0
0.95567867036,46.0
0.95567867036,47.0
0.95567867036,48.0
0.95567867036,49.0
0.95567867036,50.0
0.95567867036,51.0
0.95567867036,52.0
0.954570637119,53.0
0.954570637119,54.0
0.954570637119,55.0
0.954570637119,56.0
0.954570637119,57.0
0.954570637119,58.0
0.954570637119,59.0
0.954570637119,60.0
0.954570637119,61.0
0.954570637119,62.0
0.954570637119,63.0
0.954570637119,64.0
0.954570637119,65.0
0.954016620499,66.0
0.954016620499,67.0
0.954016620499,68.0
0.954570637119,69.0
0.954570637119,70.0
0.954016620499,71.0
0.954016620499,72.0
0.954016620499,73.0
0.954570637119,74.0
0.954570637119,75.0
0.954570637119,76.0
0.954570637119,77.0
0.954570637119,78.0
0.954570637119,79.0
0.954570637119,80.0
0.954570637119,81.0
0.954570637119,82.0
0.954016620499,83.0
0.954016620499,84.0
0.954016620499,85.0
0.954016620499,86.0
0.954570637119,87.0
0.954570637119,88.0
0.954570637119,89.0
0.954570637119,90.0
0.954570637119,91.0
0.954570637119,92.0
0.954570637119,93.0
0.954570637119,94.0
0.954570637119,95.0
0.954570637119,96.0
0.954570637119,97.0
0.954570637119,98.0
0.954016620499,99.0
